"","aco","site","workgroup_collapsed","speakanon","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler"
"1822",1,102,5,"660dddf2",3,1,50,98.01,25.77,3,33.33,100,100,33.33,0,0,0,0,0,0,33.33,0,33.33,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"1823",1,102,5,"interviewer",10,77.33,15.86,3.37,25.77,10,0,80,70,20,0,0,0,0,0,0,20,20,20,10,10,10,0,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1824",1,102,5,"660dddf2",124,14.22,76.6,55.12,14.61,11.27,14.52,98.39,57.26,10.48,5.65,1.61,3.23,0,0,0.81,4.84,8.06,5.65,11.29,9.68,14.52,3.23,19.35,6.45,3.23,0,5.65,3.23,4.03,1.61,2.42,0,0,0,13.71,3.23,0.81,0,3.23,8.87,0,0.81,1.61,1.61,0,4.84,1.61,1.61,0,0,7.26,0,7.26,0,0,17.74,5.65,0,8.87,1.61,1.61,12.9,6.45,3.23,16.94,0.81,6.45,9.68,8.06,0,0,0.81,0,0,0.81,0,0,0,0.81,0
"1825",1,102,5,"interviewer",10,8.19,15.86,1,25.77,10,0,50,40,0,0,0,0,0,0,0,0,0,0,10,10,10,10,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1826",1,102,5,"660dddf2",42,5.53,40.6,68.01,70.57,10.5,11.9,90.48,66.67,26.19,21.43,11.9,4.76,0,0,4.76,4.76,7.14,9.52,19.05,4.76,4.76,4.76,28.57,0,2.38,0,0,2.38,2.38,2.38,0,0,0,0,9.52,0,0,0,0,9.52,4.76,2.38,0,2.38,0,0,4.76,2.38,2.38,0,4.76,0,4.76,0,0,9.52,4.76,0,4.76,0,0,4.76,23.81,2.38,7.14,0,2.38,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0
"1827",1,102,5,"interviewer",7,67.14,99,13.15,25.77,7,0,71.43,71.43,14.29,14.29,0,0,14.29,0,0,0,14.29,14.29,14.29,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0
"1828",1,102,5,"660dddf2",5,8.19,1,99,25.77,5,0,100,80,40,20,20,0,0,0,0,20,0,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1829",1,102,5,"interviewer",9,99,13.32,58.07,25.77,9,33.33,77.78,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,33.33,0,11.11,0,11.11,0,11.11,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0
"1830",1,102,5,"660dddf2",1,1,1,1,25.77,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1831",1,102,5,"interviewer",13,23.17,93.79,17.46,25.77,13,7.69,100,61.54,7.69,0,0,0,0,0,0,7.69,7.69,15.38,7.69,23.08,15.38,0,15.38,0,0,7.69,0,7.69,0,0,0,0,0,0,15.38,0,0,0,0,15.38,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,15.38,23.08,0,0,0,0,15.38,0,15.38,0,15.38,0,23.08,15.38,0,0,0,0,0,0,0,0,0,0
