"","aco","site","workgroup_collapsed","speakanon","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","perform"
"342",1,101,"PCP","interviewer",7,5.53,92.33,13.15,25.77,7,0,100,42.86,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,14.29,0,14.29,0,0,0,28.57,0,0,0,0,0,0,0,28.57,0,0,0,0,14.29,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,28.57,28.57,28.57,0,0,0,0,14.29,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,"low"
"343",1,101,"PCP","a404055b",10,8.19,84.14,93.3,99,10,0,100,70,30,20,10,0,10,0,0,10,10,10,10,10,0,10,30,10,0,10,0,0,10,10,0,0,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,30,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,10,0,"low"
"344",1,101,"PCP","interviewer",19,76.19,85.38,81.22,25.77,19,15.79,84.21,52.63,10.53,5.26,0,0,5.26,0,0,5.26,5.26,15.79,10.53,5.26,5.26,0,26.32,0,0,5.26,0,10.53,0,0,0,0,0,0,10.53,0,0,0,0,10.53,0,0,0,5.26,5.26,5.26,5.26,5.26,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,21.05,0,21.05,10.53,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"345",1,101,"PCP","a404055b",60,69.57,43.37,82.75,25.77,60,11.67,93.33,68.33,20,13.33,6.67,0,0,0,6.67,6.67,10,21.67,10,3.33,10,1.67,18.33,0,0,1.67,1.67,0,0,0,0,0,0,0,13.33,0,0,0,0,11.67,0,0,5,3.33,0,6.67,1.67,1.67,0,0,0,0,0,0,0,15,0,6.67,5,3.33,0,0,15,3.33,18.33,6.67,6.67,5,1.67,0,0,0,0,0,0,0,0,0,0,0,"low"
"346",1,101,"PCP","interviewer",8,1.8,99,1,25.77,8,25,75,75,25,12.5,0,0,12.5,0,0,12.5,0,12.5,12.5,12.5,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"347",1,101,"PCP","a404055b",93,78.03,37.35,83.66,66.47,31,16.13,87.1,55.91,12.9,4.3,2.15,0,0,1.08,1.08,8.6,7.53,17.2,4.3,4.3,11.83,1.08,12.9,2.15,2.15,2.15,1.08,4.3,4.3,3.23,1.08,0,0,0,5.38,0,0,0,1.08,15.05,0,2.15,3.23,5.38,1.08,5.38,0,0,0,0,1.08,0,1.08,0,0,7.53,0,2.15,1.08,4.3,1.08,6.45,6.45,3.23,23.66,7.53,7.53,8.6,3.23,0,0,0,0,0,0,0,0,0,0,0,"low"
"348",1,101,"PCP","interviewer",16,4.85,99,7.84,99,16,6.25,93.75,75,25,18.75,0,0,18.75,0,0,6.25,6.25,12.5,25,6.25,6.25,0,31.25,0,0,6.25,0,6.25,6.25,6.25,0,0,0,0,18.75,0,0,0,0,12.5,6.25,6.25,0,0,0,0,6.25,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,31.25,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"349",1,101,"PCP","a404055b",12,1,1,23.51,25.77,4,16.67,100,75,33.33,16.67,16.67,0,0,0,0,16.67,8.33,0,33.33,8.33,0,16.67,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8.33,0,16.67,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"350",1,101,"PCP","interviewer",4,1.8,50,1,25.77,4,50,100,50,0,0,0,0,0,0,0,0,0,0,25,25,0,0,25,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"351",1,101,"PCP","a404055b",2,92.84,50,1,25.77,2,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,"low"
"352",1,101,"PCP","interviewer",7,67.14,92.33,89.63,25.77,7,14.29,100,42.86,14.29,14.29,0,0,14.29,0,0,0,0,14.29,14.29,0,0,0,28.57,28.57,28.57,0,28.57,14.29,0,0,0,0,0,0,14.29,0,0,0,0,28.57,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"353",1,101,"PCP","a404055b",13,64.27,50,1.4,25.77,4.33,30.77,92.31,38.46,7.69,0,0,0,0,0,0,7.69,7.69,7.69,15.38,0,7.69,0,23.08,7.69,0,7.69,23.08,7.69,0,0,0,0,0,0,7.69,7.69,0,0,0,15.38,0,0,0,15.38,0,7.69,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,7.69,15.38,0,0,0,0,0,0,7.69,7.69,0,0,0,7.69,0,0,7.69,0,0,"low"
"354",1,101,"PCP","interviewer",7,67.14,50,1,25.77,7,28.57,85.71,57.14,0,0,0,0,0,0,0,0,14.29,14.29,14.29,28.57,0,0,14.29,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"355",1,101,"PCP","a404055b",6,1,4.8,23.51,25.77,3,16.67,100,50,50,16.67,16.67,0,0,0,0,33.33,0,0,33.33,0,0,0,50,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,"low"
